driver_id,delivery_distance_meters
133.0,45188.0
138.0,323114.0
140.0,1462661.0
143.0,3773.0
148.0,1253116.0
165.0,41258.0
172.0,166752.0
174.0,209894.0
187.0,64734.0
196.0,501758.0
202.0,148726.0
210.0,6837.0
217.0,576928.0
223.0,1703.0
224.0,14933.0
225.0,28712.0
228.0,217089.0
231.0,651296.0
243.0,64830.0
245.0,115307.0
298.0,128780.0
301.0,39305.0
303.0,112137.0
313.0,773724.0
319.0,68140.0
340.0,5352.0
343.0,124651.0
344.0,56122.0
345.0,640443.0
350.0,4818.0
356.0,766257.0
357.0,1882358.0
358.0,1174002.0
366.0,1196395.0
367.0,1643058.0
369.0,1265.0
372.0,116423.0
378.0,1177762.0
379.0,20732.0
380.0,397085.0
387.0,344113.0
388.0,420696.0
390.0,211177.0
407.0,53053.0
409.0,865888.0
410.0,57089.0
413.0,5877.0
414.0,32010.0
415.0,14882.0
416.0,131407.0
425.0,432665.0
426.0,278830.0
430.0,466832.0
446.0,324469.0
448.0,718994.0
454.0,231953.0
456.0,276714.0
457.0,67194.0
458.0,363699.0
459.0,444492.0
463.0,219518.0
464.0,4247737.0
466.0,1607.0
474.0,483073.0
475.0,37441.0
480.0,9605.0
484.0,32704.0
488.0,141607.0
491.0,1090937.0
494.0,1149934.0
497.0,42688.0
508.0,228281.0
509.0,187087.0
510.0,171505.0
511.0,457038.0
512.0,226103.0
526.0,1485592.0
529.0,7188.0
530.0,1588.0
532.0,41951.0
539.0,122996.0
545.0,387717.0
546.0,47141.0
564.0,128600.0
574.0,1928744.0
581.0,1553278.0
583.0,90162.0
596.0,496975.0
598.0,2155153.0
599.0,271424.0
612.0,31789.0
617.0,2827.0
619.0,97718.0
620.0,27478.0
622.0,62774.0
625.0,10300.0
626.0,83131.0
627.0,2107994.0
632.0,104122.0
633.0,33718.0
639.0,1318757.0
642.0,448707.0
650.0,10286.0
651.0,459540.0
653.0,674924.0
655.0,244785.0
660.0,31236.0
664.0,253115.0
688.0,11365.0
690.0,10515.0
711.0,21226.0
713.0,1738045.0
726.0,162486.0
730.0,30391.0
731.0,7199476.0
738.0,2291.0
746.0,6179.0
749.0,260443.0
754.0,1361060.0
758.0,1677225.0
759.0,942887.0
760.0,957818.0
771.0,56805.0
775.0,16201.0
787.0,10967.0
788.0,47853.0
789.0,1067912.0
794.0,841202.0
800.0,317332.0
801.0,132894.0
809.0,177957.0
810.0,125489.0
812.0,134828.0
831.0,41516.0
839.0,684645.0
858.0,2878.0
862.0,94253.0
874.0,196564.0
886.0,28348.0
888.0,366006.0
891.0,3028.0
896.0,176819.0
900.0,2376.0
901.0,4306.0
902.0,2475863.0
906.0,405938.0
908.0,2616.0
913.0,76733.0
921.0,16897.0
922.0,290171.0
928.0,7438.0
938.0,236776.0
939.0,753738.0
941.0,2365.0
945.0,3610.0
975.0,1758675.0
976.0,204954.0
982.0,288597.0
986.0,10373.0
988.0,540739.0
995.0,41397.0
998.0,105354.0
1004.0,126205.0
1005.0,131742.0
1015.0,896093.0
1032.0,866176.0
1038.0,5086.0
1039.0,136280.0
1040.0,885426.0
1064.0,434057.0
1068.0,4638.0
1073.0,200321.0
1074.0,420038.0
1094.0,368211.0
1095.0,984.0
1105.0,64828.0
1111.0,20940.0
1113.0,1485616.0
